SDp;ERp;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.011659967845768449;0.0;-0.0285;0.4666;0.2539;-0.1018;0.084;-0.0479;0.0396;0.1393;0.1269;0.0679
0.011549945849866426;0.01;-0.0279;0.462;0.2483;-0.0984;0.0862;-0.047;0.0412;0.1398;0.1267;0.0691
0.011442381272513872;0.02;-0.0273;0.4575;0.2427;-0.095;0.0884;-0.0461;0.0428;0.1402;0.1266;0.0702
0.011337344059194059;0.03;-0.0267;0.4529;0.2371;-0.0916;0.0906;-0.0451;0.0443;0.1407;0.1264;0.0713
0.0112349050965171;0.04;-0.0262;0.4484;0.2316;-0.0882;0.0928;-0.0442;0.0459;0.1411;0.1263;0.0724
0.011135136093429041;0.05;-0.0256;0.4438;0.226;-0.0848;0.095;-0.0433;0.0475;0.1416;0.1261;0.0736
0.01103810944821908;0.06;-0.025;0.4393;0.2204;-0.0815;0.0973;-0.0423;0.0491;0.1421;0.126;0.0747
0.01094389810089519;0.07;-0.0244;0.4347;0.2148;-0.0781;0.0995;-0.0414;0.0507;0.1425;0.1258;0.0758
0.010852575370617255;0.08;-0.0239;0.4302;0.2092;-0.0747;0.1017;-0.0405;0.0523;0.143;0.1257;0.077
0.010764214778018697;0.09;-0.0233;0.4256;0.2037;-0.0713;0.1039;-0.0396;0.0539;0.1434;0.1255;0.0781
0.010678889852411675;0.1;-0.0227;0.4211;0.1981;-0.0679;0.1061;-0.0386;0.0555;0.1439;0.1254;0.0792
0.01059667392405762;0.11;-0.0221;0.4165;0.1925;-0.0645;0.1083;-0.0377;0.0571;0.1443;0.1253;0.0804
0.01051763990189345;0.12;-0.0216;0.412;0.1869;-0.0612;0.1106;-0.0368;0.0587;0.1448;0.1251;0.0815
0.010441860037332272;0.13;-0.021;0.4074;0.1813;-0.0578;0.1128;-0.0358;0.0603;0.1452;0.125;0.0826
0.010369405675004195;0.14;-0.0204;0.4029;0.1757;-0.0544;0.115;-0.0349;0.0619;0.1457;0.1248;0.0837
0.010300346991563854;0.15;-0.0198;0.3983;0.1702;-0.051;0.1172;-0.034;0.0634;0.1462;0.1247;0.0849
0.010234752723962837;0.16;-0.0193;0.3938;0.1646;-0.0476;0.1194;-0.0331;0.065;0.1466;0.1245;0.086
0.010172689888861641;0.17;-0.0187;0.3892;0.159;-0.0442;0.1217;-0.0321;0.0666;0.1471;0.1244;0.0871
0.010114223495131395;0.18;-0.0181;0.3847;0.1534;-0.0408;0.1239;-0.0312;0.0682;0.1475;0.1242;0.0883
0.010059416251663162;0.19;-0.0175;0.3801;0.1478;-0.0375;0.1261;-0.0303;0.0698;0.148;0.1241;0.0894
0.01000832827295442;0.2;-0.017;0.3755;0.1423;-0.0341;0.1283;-0.0293;0.0714;0.1484;0.1239;0.0905
0.009961016785170553;0.21;-0.0164;0.371;0.1367;-0.0307;0.1305;-0.0284;0.073;0.1489;0.1238;0.0916
0.009917535835575149;0.22;-0.0158;0.3664;0.1311;-0.0273;0.1327;-0.0275;0.0746;0.1493;0.1236;0.0928
0.009877936008378564;0.23;-0.0152;0.3619;0.1255;-0.0239;0.135;-0.0266;0.0762;0.1498;0.1235;0.0939
0.009842264150161963;0.24;-0.0147;0.3573;0.1199;-0.0205;0.1372;-0.0256;0.0778;0.1503;0.1233;0.095
0.009810563108086192;0.25;-0.0141;0.3528;0.1144;-0.0172;0.1394;-0.0247;0.0794;0.1507;0.1232;0.0962
0.009782871484086722;0.26;-0.0135;0.3482;0.1088;-0.0138;0.1416;-0.0238;0.081;0.1512;0.123;0.0973
0.009759223408182098;0.27;-0.0129;0.3437;0.1032;-0.0104;0.1438;-0.0229;0.0825;0.1516;0.1229;0.0984
0.009739648333882413;0.28;-0.0124;0.3391;0.0976;-0.007;0.146;-0.0219;0.0841;0.1521;0.1227;0.0996
0.009724170858475522;0.29;-0.0118;0.3346;0.092;-0.0036;0.1483;-0.021;0.0857;0.1525;0.1226;0.1007
0.009712810570694126;0.3;-0.0112;0.33;0.0864;-0.0002;0.1505;-0.0201;0.0873;0.153;0.1225;0.1018
0.009705581927931339;0.31;-0.0107;0.3255;0.0809;0.0032;0.1527;-0.0191;0.0889;0.1534;0.1223;0.1029
0.00970249416478177;0.32;-0.0101;0.3209;0.0753;0.0065;0.1549;-0.0182;0.0905;0.1539;0.1222;0.1041
0.009703551234249132;0.33;-0.0095;0.3164;0.0697;0.0099;0.1571;-0.0173;0.0921;0.1544;0.122;0.1052
0.0097087517824903;0.34;-0.0089;0.3118;0.0641;0.0133;0.1594;-0.0164;0.0937;0.1548;0.1219;0.1063
0.009718089157471034;0.35;-0.0084;0.3073;0.0585;0.0167;0.1616;-0.0154;0.0953;0.1553;0.1217;0.1075
0.009731551451404885;0.36;-0.0078;0.3027;0.053;0.0201;0.1638;-0.0145;0.0969;0.1557;0.1216;0.1086
0.00974912157634532;0.37;-0.0072;0.2982;0.0474;0.0235;0.166;-0.0136;0.0985;0.1562;0.1214;0.1097
0.009770777371817457;0.38;-0.0066;0.2936;0.0418;0.0268;0.1682;-0.0126;0.1001;0.1566;0.1213;0.1108
0.00979649174292079;0.39;-0.0061;0.2891;0.0362;0.0302;0.1704;-0.0117;0.1016;0.1571;0.1211;0.112
0.009826232826920363;0.4;-0.0055;0.2845;0.0306;0.0336;0.1727;-0.0108;0.1032;0.1575;0.121;0.1131
0.009859964185980409;0.41;-0.0049;0.2799;0.025;0.037;0.1749;-0.0099;0.1048;0.158;0.1208;0.1142
0.009897645023389261;0.42;-0.0043;0.2754;0.0195;0.0404;0.1771;-0.0089;0.1064;0.1585;0.1207;0.1154
0.00993923042038291;0.43;-0.0038;0.2708;0.0139;0.0438;0.1793;-0.008;0.108;0.1589;0.1205;0.1165
0.009984671590500344;0.44;-0.0032;0.2663;0.0083;0.0472;0.1815;-0.0071;0.1096;0.1594;0.1204;0.1176
0.010033916148297297;0.45;-0.0026;0.2617;0.0027;0.0505;0.1837;-0.0061;0.1112;0.1598;0.1202;0.1188
0.010086908389205031;0.46;-0.002;0.2572;-0.0029;0.0539;0.186;-0.0052;0.1128;0.1603;0.1201;0.1199
0.010143589577344169;0.47;-0.0015;0.2526;-0.0084;0.0573;0.1882;-0.0043;0.1144;0.1607;0.12;0.121
0.01020389823818489;0.48;-0.0009;0.2481;-0.014;0.0607;0.1904;-0.0034;0.116;0.1612;0.1198;0.1221
0.010267770453077772;0.49;-0.0003;0.2435;-0.0196;0.0641;0.1926;-0.0024;0.1176;0.1616;0.1197;0.1233
0.010335140152857051;0.5;0.0003;0.239;-0.0252;0.0675;0.1948;-0.0015;0.1192;0.1621;0.1195;0.1244
0.010405939407931226;0.51;0.0008;0.2344;-0.0308;0.0708;0.197;-0.0006;0.1207;0.1626;0.1194;0.1255
0.010480098712517507;0.52;0.0014;0.2299;-0.0363;0.0742;0.1993;0.0004;0.1223;0.163;0.1192;0.1267
0.010557547260937224;0.53;0.002;0.2253;-0.0419;0.0776;0.2015;0.0013;0.1239;0.1635;0.1191;0.1278
0.01063821321416204;0.54;0.0026;0.2208;-0.0475;0.081;0.2037;0.0022;0.1255;0.1639;0.1189;0.1289
0.010722023955077585;0.55;0.0031;0.2162;-0.0531;0.0844;0.2059;0.0031;0.1271;0.1644;0.1188;0.13
0.01080890633120577;0.56;0.0037;0.2117;-0.0587;0.0878;0.2081;0.0041;0.1287;0.1648;0.1186;0.1312
0.01089878688389399;0.57;0.0043;0.2071;-0.0643;0.0912;0.2104;0.005;0.1303;0.1653;0.1185;0.1323
0.01099159206323343;0.58;0.0049;0.2026;-0.0698;0.0945;0.2126;0.0059;0.1319;0.1657;0.1183;0.1334
0.011087248428206591;0.59;0.0054;0.198;-0.0754;0.0979;0.2148;0.0069;0.1335;0.1662;0.1182;0.1346
0.011185682831782767;0.6;0.006;0.1935;-0.081;0.1013;0.217;0.0078;0.1351;0.1667;0.118;0.1357
0.011286822590877689;0.61;0.0066;0.1889;-0.0866;0.1047;0.2192;0.0087;0.1367;0.1671;0.1179;0.1368
