SDp;ERp;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.008860599968373167;0.0;0.0743;0.1221;0.0;0.0;0.0124;0.3181;0.1229;0.0;0.1105;0.2396
0.008715394999125655;0.01;0.0787;0.133;0.0;0.0;0.0156;0.3032;0.1314;0.0;0.1091;0.2289
0.008583075184240362;0.02;0.083;0.1436;0.0001;0.0001;0.0191;0.2885;0.1395;0.0;0.1076;0.2183
0.008462966179152017;0.03;0.0874;0.1544;0.0002;0.0003;0.0222;0.2738;0.1478;0.0001;0.1061;0.2078
0.008354755556737897;0.04;0.092;0.1656;0.0001;0.0001;0.0255;0.2586;0.1565;0.0;0.1047;0.1969
0.00826157037503761;0.05;0.0962;0.176;0.0004;0.0005;0.0286;0.2442;0.1644;0.0;0.1032;0.1865
0.008181472423604228;0.06;0.0992;0.1832;0.0023;0.0032;0.0309;0.2322;0.1697;0.0001;0.1015;0.1777
0.008109794971890575;0.07;0.1002;0.1853;0.0073;0.0091;0.0319;0.2242;0.1707;0.0004;0.0994;0.1715
0.00804351251175772;0.08;0.1012;0.1876;0.0128;0.0146;0.0328;0.2162;0.1718;0.0004;0.0973;0.1654
0.00798295934489926;0.09;0.102;0.1895;0.0187;0.0205;0.0335;0.2084;0.1727;0.0001;0.0952;0.1593
0.007929047160071614;0.1;0.1027;0.1911;0.0244;0.0263;0.0342;0.2009;0.1733;0.0004;0.0931;0.1535
0.0078813105814694;0.11;0.1034;0.1926;0.0298;0.0318;0.0349;0.1934;0.1736;0.0016;0.0911;0.1479
0.007839246858035621;0.12;0.1039;0.1938;0.0347;0.0367;0.0354;0.1861;0.1735;0.0039;0.0891;0.1427
0.007802482141172664;0.13;0.1043;0.1947;0.0391;0.0411;0.0359;0.1791;0.1728;0.0078;0.0873;0.138
0.007770898318820016;0.14;0.1048;0.1958;0.0437;0.0457;0.0364;0.1719;0.1724;0.0109;0.0854;0.133
0.00774461915833613;0.15;0.1052;0.1968;0.0483;0.0502;0.0369;0.1648;0.1719;0.0143;0.0835;0.1281
0.007723682591961567;0.16;0.1057;0.1978;0.0528;0.0547;0.0374;0.1576;0.1714;0.0177;0.0816;0.1232
0.007708130002080524;0.17;0.1061;0.1988;0.0573;0.0592;0.0379;0.1505;0.1708;0.0213;0.0798;0.1184
0.007697993058911072;0.18;0.1066;0.1997;0.0617;0.0637;0.0384;0.1434;0.1703;0.0248;0.0779;0.1136
0.007693295972562465;0.19;0.1069;0.2006;0.0661;0.0681;0.0391;0.1363;0.1696;0.0285;0.076;0.1087
0.007694042233545453;0.2;0.1074;0.2016;0.0706;0.0725;0.0395;0.1292;0.1691;0.032;0.0742;0.1039
