SDp;ERp;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.009115503696365566;0.0;0.0689;0.3558;0.1379;0.1492;0.0185;0.1655;0.0178;0.0005;0.0791;0.0068
0.00908330729646778;0.01;0.0724;0.3612;0.1332;0.1397;0.0161;0.1577;0.0139;0.0108;0.0841;0.0109
0.00906292723265953;0.02;0.0759;0.3667;0.1285;0.1301;0.0137;0.1499;0.0101;0.0211;0.089;0.015
0.009054443295184159;0.03;0.0793;0.3721;0.1239;0.1206;0.0113;0.1422;0.0062;0.0314;0.094;0.019
0.009057888911094866;0.04;0.0828;0.3776;0.1192;0.1111;0.0089;0.1344;0.0024;0.0417;0.0989;0.0231
0.009073250489464724;0.05;0.0862;0.383;0.1145;0.1015;0.0065;0.1266;-0.0015;0.052;0.1039;0.0272
0.009100467688103445;0.06;0.0897;0.3885;0.1098;0.092;0.0041;0.1188;-0.0053;0.0623;0.1088;0.0313
0.009139434589659497;0.07;0.0932;0.3939;0.1051;0.0825;0.0017;0.1111;-0.0092;0.0727;0.1138;0.0353
0.009190001734163086;0.08;0.0966;0.3994;0.1004;0.0729;-0.0007;0.1033;-0.013;0.083;0.1187;0.0394
0.009251978918479179;0.09;0.1001;0.4048;0.0958;0.0634;-0.0031;0.0955;-0.0169;0.0933;0.1237;0.0435
0.009325138643519046;0.1;0.1035;0.4103;0.0911;0.0539;-0.0054;0.0877;-0.0207;0.1036;0.1286;0.0475
0.00940922006930053;0.11;0.107;0.4157;0.0864;0.0443;-0.0078;0.0799;-0.0246;0.1139;0.1336;0.0516
0.009503933326944691;0.12;0.1105;0.4212;0.0817;0.0348;-0.0102;0.0722;-0.0284;0.1242;0.1385;0.0557
0.00960896403533173;0.13;0.1139;0.4266;0.077;0.0252;-0.0126;0.0644;-0.0323;0.1345;0.1435;0.0597
0.009723977877411787;0.14;0.1174;0.4321;0.0723;0.0157;-0.015;0.0566;-0.0361;0.1448;0.1484;0.0638
0.009848625105429462;0.15;0.1209;0.4375;0.0676;0.0062;-0.0174;0.0488;-0.04;0.1551;0.1534;0.0679
0.009982544863560778;0.16;0.1243;0.443;0.063;-0.0034;-0.0198;0.0411;-0.0438;0.1654;0.1583;0.072
0.01012536923857685;0.17;0.1278;0.4484;0.0583;-0.0129;-0.0222;0.0333;-0.0477;0.1757;0.1633;0.076
0.010276726972185235;0.18;0.1312;0.4539;0.0536;-0.0224;-0.0246;0.0255;-0.0515;0.186;0.1682;0.0801
0.010436246791014828;0.19;0.1347;0.4593;0.0489;-0.032;-0.027;0.0177;-0.0554;0.1963;0.1732;0.0842
0.010603560330563576;0.2;0.1382;0.4647;0.0442;-0.0415;-0.0293;0.0099;-0.0592;0.2066;0.1781;0.0882
0.010778304647004666;0.21;0.1416;0.4702;0.0395;-0.051;-0.0317;0.0022;-0.0631;0.217;0.1831;0.0923
0.01096012432512468;0.22;0.1451;0.4756;0.0349;-0.0606;-0.0341;-0.0056;-0.0669;0.2273;0.188;0.0964
0.0111486732017556;0.23;0.1485;0.4811;0.0302;-0.0701;-0.0365;-0.0134;-0.0708;0.2376;0.193;0.1004
0.01134361573201877;0.24;0.152;0.4865;0.0255;-0.0796;-0.0389;-0.0212;-0.0746;0.2479;0.1979;0.1045
0.011544628030849262;0.25;0.1555;0.492;0.0208;-0.0892;-0.0413;-0.0289;-0.0785;0.2582;0.2029;0.1086
0.0117513986250337;0.26;0.1589;0.4974;0.0161;-0.0987;-0.0437;-0.0367;-0.0823;0.2685;0.2078;0.1127
0.011963628951828275;0.27;0.1624;0.5029;0.0114;-0.1082;-0.0461;-0.0445;-0.0862;0.2788;0.2128;0.1167
0.012181033639573041;0.28;0.1658;0.5083;0.0068;-0.1178;-0.0485;-0.0523;-0.09;0.2891;0.2177;0.1208
0.012403340603990641;0.29;0.1693;0.5138;0.0021;-0.1273;-0.0509;-0.0601;-0.0939;0.2994;0.2227;0.1249
0.012630290991406426;0.3;0.1728;0.5192;-0.0026;-0.1368;-0.0533;-0.0678;-0.0977;0.3097;0.2276;0.1289
0.012861638997243246;0.31;0.1762;0.5247;-0.0073;-0.1464;-0.0556;-0.0756;-0.1016;0.32;0.2326;0.133
0.013097151585059275;0.32;0.1797;0.5301;-0.012;-0.1559;-0.058;-0.0834;-0.1054;0.3303;0.2375;0.1371
0.013336608128285073;0.33;0.1832;0.5356;-0.0167;-0.1654;-0.0604;-0.0912;-0.1093;0.3406;0.2425;0.1411
0.01357979999380201;0.34;0.1866;0.541;-0.0213;-0.175;-0.0628;-0.0989;-0.1131;0.3509;0.2474;0.1452
0.013826530083672366;0.35;0.1901;0.5465;-0.026;-0.1845;-0.0652;-0.1067;-0.117;0.3612;0.2524;0.1493
0.014076612348734172;0.36;0.1935;0.5519;-0.0307;-0.1941;-0.0676;-0.1145;-0.1208;0.3716;0.2573;0.1534
0.014329871285436602;0.37;0.197;0.5574;-0.0354;-0.2036;-0.07;-0.1223;-0.1247;0.3819;0.2623;0.1574
0.014586141425223874;0.38;0.2005;0.5628;-0.0401;-0.2131;-0.0724;-0.13;-0.1285;0.3922;0.2672;0.1615
0.014845266823970865;0.39;0.2039;0.5683;-0.0448;-0.2227;-0.0748;-0.1378;-0.1324;0.4025;0.2722;0.1656
0.015107100557418502;0.4;0.2074;0.5737;-0.0494;-0.2322;-0.0772;-0.1456;-0.1362;0.4128;0.2771;0.1696
0.015371504227232465;0.41;0.2108;0.5792;-0.0541;-0.2417;-0.0795;-0.1534;-0.1401;0.4231;0.2821;0.1737
0.01563834748119197;0.42;0.2143;0.5846;-0.0588;-0.2513;-0.0819;-0.1612;-0.1439;0.4334;0.287;0.1778
0.015907507550084243;0.43;0.2178;0.5901;-0.0635;-0.2608;-0.0843;-0.1689;-0.1478;0.4437;0.292;0.1818
