,ABBV,BDX,BMRN,BSX,COO,DXCM,IDXX,ISRG,LLY,VEEV
ABBV,0.0001521589255044556,3.909420723466539e-05,5.084318270095525e-05,2.45992781047824e-05,2.0714587982488255e-05,1.7834751019880283e-05,2.1868792844093073e-05,3.203820569969109e-05,3.483076939179919e-05,-5.287649220267085e-06
BDX,3.909420723466539e-05,0.00014789293601699308,4.2935161436221326e-05,5.928227905757598e-05,5.904805388130397e-05,4.715925843571107e-05,7.537319210653788e-05,6.946177084419343e-05,6.75070129374757e-05,9.332901672573588e-05
BMRN,5.084318270095525e-05,4.2935161436221326e-05,0.0003581963084866389,3.0231101622407974e-05,5.9417136105939355e-05,8.583671733866402e-05,0.00010126023382574382,7.749481108994278e-05,4.588454215268719e-05,7.554750214465627e-05
BSX,2.45992781047824e-05,5.928227905757598e-05,3.0231101622407974e-05,0.00015919546802506732,7.655298488339274e-05,0.00010471077872668914,7.608039857691788e-05,0.00012249668984167693,3.734458599674227e-05,4.812075511949252e-05
COO,2.0714587982488255e-05,5.904805388130397e-05,5.9417136105939355e-05,7.655298488339274e-05,0.00020767798010372534,0.0001202492805905679,0.00014154432698195376,0.0001364665090042957,2.433494981879377e-05,0.00012764832521714592
DXCM,1.7834751019880283e-05,4.715925843571107e-05,8.583671733866402e-05,0.00010471077872668914,0.0001202492805905679,0.0006451542254348414,0.00016032276318114904,0.00023122495131198536,-4.251491229629049e-05,0.00010287503938137892
IDXX,2.1868792844093073e-05,7.537319210653788e-05,0.00010126023382574382,7.608039857691788e-05,0.00014154432698195376,0.00016032276318114904,0.0003746402864285228,0.00019192984093808615,5.31463730923292e-05,0.00017076555474782845
ISRG,3.203820569969109e-05,6.946177084419343e-05,7.749481108994278e-05,0.00012249668984167693,0.0001364665090042957,0.00023122495131198536,0.00019192984093808615,0.00032998472902472483,3.618195447949263e-05,0.00010994432341663827
LLY,3.483076939179919e-05,6.75070129374757e-05,4.588454215268719e-05,3.734458599674227e-05,2.433494981879377e-05,-4.251491229629049e-05,5.31463730923292e-05,3.618195447949263e-05,0.000330003471339488,6.11209767540114e-05
VEEV,-5.287649220267085e-06,9.332901672573588e-05,7.554750214465627e-05,4.812075511949252e-05,0.00012764832521714592,0.00010287503938137892,0.00017076555474782845,0.00010994432341663827,6.11209767540114e-05,0.0005365289009709471
